date,tournament,location,points,place
2025-01-25,FQE Championnat ouvert d'échecs semi rapides de Montréal,"Maison du loisir et du sport; 7665, Boul. Lacordaire, Montréal",2/5,26/39
2025-01-31 to 2025-02-02,FQE Le Championnat jeunesse d'échecs du Québec,"Centre St-Pierre; 1212 rue Panet, Montréal QC",3/5,7/18
2025-02-21 to 2025-02-23,Tournoi du Carnaval,"centre communautaire Noël-Brulart, 1229 avenue du Chanoine-Morel, Québec",3/5,14/51
2025-03-02,"Qualification de Verdun (Verdun, QC)",,3.5/5,4/20
2025-03-08 to 2025-03-09,Championnat Scolaire de l’État de New York 2025,Hôtel Saratoga Springs Courtyard by Marriott,3.5/7,49/64
2025-03-16,Le Grand Tour jeunesse du Québec,"Centre Patro Villeray, 7355 Ave Christophe-Colomb, Montreal, Qc H2R 2S5",4/5,3/36
2025-03-21 to 2025-03-23,48e Championnat Ouvert de la Mauricie,"3600 Boulevard Gene-H.-Kruger, Trois-Rivières, QC",4/5,3/20
2025-03-29,Blitz Bliss - Tournoi de parties rapides,"4020 Rue Saint-Ambroise, Suite 301, Montréal, QC H4C 2E1",3/14,19/23
2025-04-05,FQE Qualification l'Ouest de l'Île,"Club d'échecs Lakeshore, 1564 chemin Herron, local 111, Dorval, H9S 1B7",4.5/5,1/12
2025-04-07,Tournoi Bâtisseur de Пâques 2025,"Centre Patro Villeray, 7355 Ave Christophe-Colomb, Montreal, Qc H2R 2S5",4/5,3/16
2025-04-13,CAM Tournoi de Qualification 3 - ouvert à tous les enfants de la maternelle au cégep,"Loisirs St-Henri, 530 rue du Couvent, Montréal, Canada, H4C 2R4",4/5,2/30
2025-04-27,CAM Défi Échiquéen du Québec 2025 (sur invitation seulement),"Centre Mont-Royal : 2200 rue Mansfield, Montréal, Québec, H3A 3R8",3.5/5,10/64
2025-05-04,FQE Finale des Bâtisseurs,"Centre Patro Villeray, 7355 Ave Christophe-Colomb, Montreal, Qc H2R 2S5",3/5,5/17
2025-05-11,CAM GRAND PRIX SCOLAIRE 2024-2025,"Loisirs St-Henri, 530 rue du Couvent, Montréal, Canada, H4C 2R4",4/5,6/54
2025-05-20,Classical Bliss v. 6,,3/4,7/24
2025-05-17 to 2025-05-21,Capablanca Inmemorial 58,"Varadero, Cuba",5/8,22/106
2025-05-25,Championnat Jeunesse du Québec,"1600 rue de Drucourt, Montréal",3.5/5,12/53
2025-06-15,TOURNOI ÉLITE DE CHAMBLY (TEC) 2025,,4.5/7,4/47
2025-06-20 to 2025-06-22,Championnat ouvert de Laval 2025,"2900 Boul. le Carrefour, Laval, QC H7T 2K9, Canada",2/5,28/42
